TUCASEID,TULINENO,EXLCH,EELCH,EEBRK,EXBRK
20070101070052,2,0,1,1,0
20070101070052,3,0,1,1,0
20070101070067,1,41,1,2,41
20070101070502,3,0,1,2,0
20070101070502,4,0,1,2,0
20070101070502,5,0,1,2,0
20070101070502,6,0,1,2,0
20070101070512,2,41,1,2,41
20070101070515,5,0,1,2,0
20070101070515,6,0,1,1,0
20070101070587,2,0,1,2,0
20070101070599,3,0,1,2,0
20070101070599,4,0,2,2,0
20070101070684,1,0,1,2,0
20070101070684,4,0,1,1,0
20070101070684,5,0,1,2,0
20070101070700,3,0,1,2,0
20070101070703,3,0,1,2,0
20070101070703,4,0,1,2,0
20070101070703,5,0,1,2,0
20070101070731,4,0,1,2,0
20070101070765,1,11,2,2,11
20070101070765,4,0,1,2,0
20070101070765,5,0,1,1,0
20070101070819,4,0,1,2,0
20070101070841,3,0,2,2,0
20070101070841,4,0,1,2,0
20070101070841,5,0,2,2,0
20070101070841,6,0,2,2,0
20070101070851,1,0,1,2,0
20070101070851,5,0,1,2,0
20070101070853,3,0,1,2,0
20070101070853,4,0,1,2,0
20070101070936,3,0,1,1,0
20070101070984,3,0,1,2,0
20070101071009,3,0,1,2,0
20070101071009,4,0,1,2,0
20070101071010,3,0,2,2,0
20070101071010,4,0,1,2,0
20070101071020,2,0,1,1,0
20070101071036,3,0,1,2,0
20070101071036,4,0,2,2,0
20070101071037,3,0,1,2,0
20070101071037,4,0,1,2,0
20070101071037,5,0,1,2,0
20070101071060,3,0,1,2,0
20070101071060,4,0,2,2,0
20070101071080,3,0,2,2,0
20070101071080,4,0,2,2,0
20070101071080,5,0,1,2,0
20070101071123,3,0,1,2,0
20070101071123,4,0,2,2,0
20070101071140,2,0,1,2,0
20070101071140,3,0,1,2,0
20070101071147,4,0,2,2,0
20070101071147,5,0,1,2,0
20070101071147,6,0,1,1,0
20070101071147,7,0,1,2,0
20070101071147,8,0,2,2,0
20070101071147,9,0,2,2,0
20070101071147,10,0,2,2,0
20070101071188,2,0,1,1,0
20070101071195,3,0,1,1,0
20070101071195,4,0,1,1,0
20070101071207,3,0,1,2,0
20070101071207,4,0,1,1,0
20070101071207,5,0,1,2,0
20070101071227,3,0,1,2,0
20070101071236,3,0,1,1,0
20070101071238,3,0,1,2,0
20070101071271,5,0,1,1,0
20070101071271,8,0,2,2,0
20070101071273,3,0,1,2,0
20070101071315,3,0,1,2,0
20070101071315,4,0,2,2,0
20070101071329,5,0,1,2,0
20070101071329,6,0,2,2,0
20070101071350,4,0,2,1,0
20070101071389,4,0,1,2,0
20070101071399,3,0,1,2,0
20070101071399,4,0,1,2,0
20070101071406,3,0,1,2,0
20070101071406,4,0,2,2,0
20070101071409,3,0,1,1,0
20070101071414,4,0,2,2,0
20070101071414,5,0,1,2,0
20070101071421,4,11,2,2,11
20070101071421,5,0,1,2,0
20070101071421,6,0,1,2,0
20070101071421,7,0,1,2,0
20070101071448,3,0,1,2,0
20070101071448,4,0,1,2,0
20070101071480,3,0,1,1,0
20070101071480,4,0,1,1,0
20070101071481,5,0,1,1,0
20070101071538,1,10,2,2,0
20070101071538,3,0,1,1,0
20070101071538,4,0,1,1,0
20070101071541,5,0,1,2,0
20070101071555,3,0,1,2,0
20070101071572,3,0,1,1,0
20070101071572,4,0,1,1,0
20070101071579,3,0,1,2,0
20070101071589,2,0,1,1,0
20070101071646,3,0,1,2,0
20070101071646,4,0,1,2,0
20070101071657,3,0,2,2,0
20070101071657,4,0,1,2,0
20070101071691,3,0,1,2,0
20070101071691,4,0,1,2,0
20070101071705,1,0,1,2,0
20070101071705,4,0,1,2,0
20070101071705,5,0,1,2,0
20070101071758,4,0,1,2,0
20070101071796,2,0,1,1,0
20070101071796,3,0,1,1,0
20070101071796,4,0,1,1,0
20070101071796,5,0,1,1,0
20070101071796,6,0,2,2,0
20070101071796,7,0,2,2,0
20070101071803,1,41,1,1,41
20070101071820,3,0,1,1,0
20070101071820,4,0,1,1,0
20070101071820,5,0,2,2,0
20070101071859,1,0,1,1,0
20070101071859,5,0,1,1,0
20070101071859,6,0,1,1,0
20070101071883,3,0,2,1,0
20070101071894,4,0,1,2,0
20070101071894,5,0,1,2,0
20070101071894,6,0,1,2,0
20070101071911,2,0,1,2,0
20070101071917,3,0,1,2,0
20070101071917,4,0,1,2,0
20070101071926,1,0,1,2,0
20070101071934,1,0,1,2,0
20070101071934,6,0,1,2,0
20070101071954,3,0,1,1,0
20070101071986,3,0,1,2,0
20070101072046,3,0,1,2,0
20070101072050,2,0,1,2,0
20070101072050,3,0,2,2,0
20070101072064,1,0,1,2,0
20070101072064,5,0,1,2,0
20070101072107,3,0,1,1,0
20070101072107,4,0,1,1,0
20070101072107,5,0,1,1,0
20070101072170,3,41,1,2,41
20070101072170,4,0,1,2,0
20070101072170,5,0,1,2,0
20070101072170,6,0,1,2,0
20070101072172,2,0,2,2,0
20070101072172,3,0,1,1,0
20070101072173,2,0,1,1,0
20070101072189,5,0,1,1,0
20070101072198,3,0,1,2,0
20070101072198,4,0,1,2,0
20070101072198,5,0,1,2,0
20070101072198,6,0,2,2,0
20070101072198,7,0,2,2,0
20070101072302,1,0,1,1,0
20070101072320,2,0,1,2,0
20070101072320,3,0,1,2,0
20070101072320,4,0,1,2,0
20070101072320,5,0,1,2,0
20070101072330,3,0,1,2,0
20070101072330,4,0,1,2,0
20070101072330,5,0,1,2,0
20070101072354,3,0,1,2,0
20070101072373,1,0,1,2,0
20070101072373,5,0,1,2,0
20070101072395,3,0,1,1,0
20070101072395,4,0,1,1,0
20070101072423,5,0,1,2,0
20070101072423,6,0,1,2,0
20070101072471,3,0,1,2,0
20070101072471,4,0,1,2,0
20070101072477,1,0,1,2,0
20070101072536,3,0,1,2,0
20070101072536,4,0,2,2,0
20070101072537,3,0,2,2,0
20070101072537,5,0,1,2,0
20070110060826,2,0,1,2,0
20070111060541,3,0,1,2,0
20070111060541,4,0,1,2,0
20070111060541,5,0,1,2,0
20070111060573,3,0,1,1,0
20070111060573,4,0,1,1,0
20070111060616,2,0,1,2,0
20070111060618,3,0,1,2,0
20070111060618,4,0,1,2,0
20070111060668,3,0,1,2,0
20070111060668,4,0,1,2,0
20070111060668,5,0,2,2,0
20070111060709,1,0,2,2,0
20070111060709,5,0,1,2,0
20070111060758,1,0,1,1,0
20070111060758,4,0,2,2,0
20070111060758,5,0,2,2,0
20070111060839,3,0,2,2,0
20070111060839,4,0,1,2,0
20070111060839,5,0,1,2,0
20070111060930,3,0,1,2,0
20070111060991,3,0,1,2,0
20070111060991,4,0,1,2,0
20070111060993,4,41,1,2,41
20070111061031,3,0,1,2,0
20070111061031,4,0,2,2,0
20070111061063,1,41,1,2,41
20070111061079,1,41,1,2,41
20070111061079,4,0,1,2,0
20070111061079,5,0,1,2,0
20070111061079,6,0,1,2,0
20070111061094,3,0,1,2,0
20070111061094,4,0,2,2,0
20070111061185,2,0,1,1,0
20070111061185,3,0,2,1,0
20070111061194,2,0,2,2,0
20070111061194,3,0,1,1,0
20070111061194,4,0,2,2,0
20070111061194,6,0,2,2,0
20070111061259,3,0,1,1,0
