TUCASEID,TUACTIVITY_N,EUEATSUM,EUEDUR,EUEDUR24
20150101150146,1,-1,-1,-1
20150101150146,2,-1,-1,-1
20150101150146,3,-1,-1,-1
20150101150146,4,-1,-1,-1
20150101150146,5,-1,-1,-1
20150101150146,6,-1,-1,-1
20150101150146,7,-1,-1,-1
20150101150146,8,-1,-1,-1
20150101150146,9,-1,-1,-1
20150101150146,10,-1,-1,-1
20150101150146,11,-1,-1,-1
20150101150146,12,-1,-1,-1
20150101150146,13,-1,-1,-1
20150101150146,14,-1,-1,-1
20150101150146,15,-1,-1,-1
20150101150146,16,-1,-1,-1
20150101150146,17,-1,-1,-1
20150101150146,18,-1,-1,-1
20150101150146,19,-1,-1,-1
20150101150146,20,-1,-1,-1
20150101150146,21,-1,-1,-1
20150101150146,22,-1,-1,-1
20150101150146,23,-1,-1,-1
20150101150146,24,-1,-1,-1
20150101150146,25,1,30,30
20150101150146,26,-1,-1,-1
20150101150146,27,-1,-1,-1
20150101150146,28,-1,-1,-1
20150101150146,29,-1,-1,-1
20150101150146,30,-1,-1,-1
20150101150146,31,-1,-1,-1
20150101150146,32,-1,-1,-1
20150101150146,33,-1,-1,-1
20150101150146,34,-1,-1,-1
20150101150147,1,-1,-1,-1
20150101150147,2,-1,-1,-1
20150101150147,3,-1,-1,-1
20150101150147,4,-1,-1,-1
20150101150147,5,-1,-1,-1
20150101150147,6,-1,-1,-1
20150101150147,7,1,5,5
20150101150147,8,-1,-1,-1
20150101150147,9,-1,-1,-1
20150101150147,10,-1,-1,-1
20150101150147,11,-1,-1,-1
20150101150147,12,-1,-1,-1
20150101150147,13,-1,-1,-1
20150101150147,14,-1,-1,-1
20150101150500,1,-1,-1,-1
20150101150500,2,-1,-1,-1
20150101150500,3,-1,-1,-1
20150101150500,4,-1,-1,-1
20150101150500,5,-1,-1,-1
20150101150500,6,-1,-1,-1
20150101150500,7,-1,-1,-1
20150101150500,8,-1,-1,-1
20150101150500,9,-1,-1,-1
20150101150500,10,-1,-1,-1
20150101150500,11,-1,-1,-1
20150101150500,12,-1,-1,-1
20150101150500,13,1,1,1
20150101150500,14,-1,-1,-1
20150101150500,15,-1,-1,-1
20150101150500,16,-1,-1,-1
20150101150500,17,-1,-1,-1
20150101150500,18,-1,-1,-1
20150101150500,19,-1,-1,-1
20150101150500,20,1,1,1
20150101150500,21,-1,-1,-1
20150101150523,1,-1,-1,-1
20150101150523,2,-1,-1,-1
20150101150523,3,-1,-1,-1
20150101150523,4,-1,-1,-1
20150101150523,5,-1,-1,-1
20150101150523,6,1,15,15
20150101150523,7,-1,-1,-1
20150101150523,8,-1,-1,-1
20150101150523,9,-1,-1,-1
20150101150523,10,-1,-1,-1
20150101150523,11,-1,-1,-1
20150101150523,12,-1,-1,-1
20150101150523,13,-1,-1,-1
20150101150523,14,1,15,15
20150101150523,15,-1,-1,-1
20150101150523,16,-1,-1,-1
20150101150523,17,-1,-1,-1
20150101150523,18,-1,-1,-1
20150101150523,19,-1,-1,-1
20150101150523,20,-1,-1,-1
20150101150523,21,-1,-1,-1
20150101150523,22,1,2,2
20150101150523,23,-1,-1,-1
20150101150523,24,-1,-1,-1
20150101150539,1,-1,-1,-1
20150101150539,2,-1,-1,-1
20150101150539,3,-1,-1,-1
20150101150539,4,1,5,5
20150101150539,5,-1,-1,-1
20150101150539,6,1,5,5
20150101150539,7,-1,-1,-1
20150101150539,8,-1,-1,-1
20150101150539,9,-1,-1,-1
20150101150539,10,-1,-1,-1
20150101150539,11,-1,-1,-1
20150101150539,12,-1,-1,-1
20150101150539,13,-1,-1,-1
20150101150539,14,-1,-1,-1
20150101150578,1,-1,-1,-1
20150101150578,2,-1,-1,-1
20150101150578,3,-1,-1,-1
20150101150578,4,-1,-1,-1
20150101150578,5,-1,-1,-1
20150101150578,6,-1,-1,-1
