case_id,snap_benefits,general_health,height_in,income_130_pov,statistical_weight,num_children,income_185_pov,meal_preparer,grocery_shopper,secondary_eating_duration,secondary_drinking_duration,primary_eating_duration,secondary_drinking_day_prior,weight_lb,secondary_eating_day_prior,bmi,secondary_eating_all_day,secondary_drinking_all_day,activity_list,assisted_meals,year
20070806072615,0.0,2.0,65.0,1.0,4221810.730427,0,2.0,1.0,1.0,0,0,80,0.0,178.0,0.0,29.6,0,0,,,2007
20070806072621,0.0,4.0,66.0,1.0,27211651.422744,0,2.0,1.0,1.0,120,960,45,1.0,135.0,1.0,21.8,0,1,"2,3,4,4,5,6,7,8,10,11,12,13,14,15,17,18,19,20,21,22",,2007
20070806072624,0.0,3.0,70.0,,14305040.213645002,0,1.0,1.0,1.0,0,0,55,0.0,150.0,0.0,21.5,0,0,,,2007
20070806072626,0.0,5.0,70.0,,1956231.1239729999,3,1.0,1.0,1.0,0,0,30,0.0,185.0,0.0,26.5,0,0,,,2007
20070806072636,0.0,4.0,70.0,,3186570.616994,2,1.0,3.0,3.0,4,0,145,0.0,137.0,1.0,19.7,0,0,"5,11",,2007
20070806072671,0.0,4.0,67.0,1.0,5176451.954727,0,2.0,1.0,1.0,65,145,145,1.0,160.0,1.0,25.1,0,0,"3,3,7,15,20,20",,2007
20070806072690,0.0,3.0,71.0,,2213535.389926,1,1.0,2.0,1.0,0,0,55,0.0,,0.0,,0,0,,,2007
20070807070004,0.0,4.0,67.0,,4121789.6445580004,0,1.0,1.0,1.0,0,0,105,0.0,180.0,0.0,28.2,0,0,,,2007
20070807070011,0.0,4.0,65.0,2.0,3620430.826754,1,2.0,1.0,1.0,30,5,0,1.0,215.0,1.0,35.8,0,0,"4,21,34,39",,2007
20070807070024,0.0,3.0,63.0,1.0,6011574.20983,0,2.0,1.0,1.0,30,0,60,0.0,152.0,1.0,26.9,0,0,7,,2007
20070807070031,0.0,3.0,66.0,,14316452.463770999,0,1.0,1.0,1.0,0,0,140,0.0,,0.0,,0,0,,,2007
20070807070032,1.0,4.0,65.0,1.0,4496491.970872,1,2.0,1.0,1.0,0,0,42,0.0,200.0,0.0,33.3,0,0,,,2007
20070807070033,0.0,4.0,67.0,,4770605.948311,1,1.0,1.0,1.0,20,15,120,1.0,130.0,1.0,20.4,0,0,"6,12",,2007
20070807070039,0.0,3.0,70.0,2.0,16543104.763582,0,2.0,3.0,3.0,0,0,70,0.0,150.0,0.0,21.5,0,0,,,2007
20070807070047,1.0,1.0,68.0,2.0,3543563.453976,0,2.0,1.0,1.0,15,10,20,1.0,240.0,1.0,36.5,0,0,"4,4",,2007
