case_id,snap_benefits,general_health,height_in,income_130_pov,statistical_weight,num_children,income_185_pov,meal_preparer,grocery_shopper,secondary_eating_duration,secondary_drinking_duration,primary_eating_duration,secondary_drinking_day_prior,weight_lb,secondary_eating_day_prior,bmi,secondary_eating_all_day,secondary_drinking_all_day,activity_list,assisted_meals,year
20080101080013,0.0,3.0,67.0,,17399203.112657,0,1.0,1.0,1.0,0,0,20,0.0,180.0,0.0,28.2,0,0,,,2008
20080101080015,0.0,2.0,68.0,,5435524.098589,0,,3.0,3.0,0,0,5,0.0,200.0,0.0,30.4,0,0,,,2008
20080101080088,0.0,2.0,67.0,2.0,2925273.288009,0,2.0,1.0,1.0,0,0,90,0.0,100.0,0.0,15.7,0,0,,,2008
20080101080102,0.0,4.0,66.0,,3245690.0007240004,3,1.0,1.0,1.0,25,55,45,1.0,,1.0,,0,0,"4,4,22,22,26",2.0,2008
20080101080116,1.0,3.0,62.0,2.0,1553436.70651,2,2.0,1.0,1.0,30,135,45,1.0,215.0,1.0,39.3,0,0,"6,6,7,8,11",1.0,2008
20080101080119,1.0,5.0,60.0,2.0,9301846.537352001,5,2.0,2.0,1.0,0,0,10,0.0,125.0,0.0,24.4,0,0,,,2008
20080101080134,0.0,4.0,67.0,1.0,6239831.567902,0,2.0,2.0,3.0,0,0,60,0.0,180.0,0.0,28.2,0,0,,,2008
20080101080145,1.0,2.0,63.0,,16292978.915098,0,1.0,1.0,1.0,5,5,85,1.0,134.0,1.0,23.7,0,0,"8,22",,2008
20080101080164,1.0,4.0,60.0,2.0,3569493.652015,6,2.0,2.0,1.0,15,115,25,1.0,126.0,1.0,24.6,0,0,"3,26,26,30,30",10.0,2008
20080101080504,0.0,5.0,71.0,,14107362.832797,0,1.0,3.0,3.0,30,0,60,0.0,148.0,1.0,20.6,0,0,"4,5",,2008
20080101080536,0.0,5.0,67.0,,2606834.620897,2,1.0,1.0,1.0,30,30,35,1.0,134.0,1.0,21.0,0,0,"3,37",,2008
20080101080545,,,,,2158151.604078,2,1.0,,,-3,-3,0,,,,,0,0,,,2008
20080101080567,0.0,3.0,67.0,,6861204.7143709995,1,1.0,3.0,3.0,0,0,75,0.0,220.0,0.0,34.5,0,0,,,2008
20080101080600,0.0,3.0,69.0,,8486572.748903,3,1.0,1.0,1.0,0,0,30,0.0,220.0,0.0,32.5,0,0,,,2008
20080101080606,0.0,5.0,65.0,,15569933.792837,0,1.0,2.0,2.0,0,0,80,0.0,126.0,0.0,21.0,0,0,,,2008
20080101080629,0.0,3.0,68.0,1.0,6519800.573078,0,2.0,3.0,3.0,38,68,0,1.0,214.0,1.0,32.5,0,0,"4,6,6,12",,2008
20080101080707,0.0,2.0,70.0,,2062975.681221,0,1.0,1.0,1.0,15,45,0,1.0,225.0,1.0,32.3,0,0,"9,9",,2008
20080101080753,0.0,3.0,66.0,2.0,3900584.8794989996,4,2.0,1.0,1.0,7,733,10,1.0,165.0,1.0,26.6,0,1,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22,23,24,25,25,26,27,28,29,30,31,32,33,34,35,36",8.0,2008
20080101080755,0.0,5.0,63.0,,7003651.099311,0,1.0,3.0,3.0,0,0,240,0.0,200.0,0.0,35.4,0,0,,,2008
20080101080776,0.0,3.0,60.0,,4570243.708673,1,1.0,1.0,2.0,0,0,120,0.0,118.0,0.0,23.0,0,0,,,2008
20080101080781,0.0,3.0,,1.0,7029552.222511,4,2.0,3.0,2.0,0,0,30,0.0,176.0,0.0,,0,0,,,2008
20080101080813,0.0,4.0,63.0,,1822154.7403799999,2,1.0,1.0,1.0,30,5,115,1.0,105.0,1.0,18.6,0,0,"12,12",,2008
20080101080842,0.0,4.0,70.0,,14529830.016445002,1,1.0,3.0,3.0,0,0,115,0.0,180.0,0.0,25.8,0,0,,,2008
20080101080920,0.0,2.0,64.0,,3757570.2152589997,0,1.0,1.0,1.0,40,10,60,1.0,268.0,1.0,46.0,0,0,"15,15",,2008
20080101080921,0.0,3.0,64.0,,867579.699357,2,1.0,1.0,1.0,155,0,65,0.0,135.0,1.0,23.2,0,0,"6,11",2.0,2008
20080101080928,0.0,4.0,60.0,,4418584.90859,0,1.0,1.0,1.0,10,885,40,1.0,,1.0,,0,1,"2,3,3,4,5,6,7,9,10,11,12,14,15,16",,2008
20080101080990,0.0,3.0,63.0,1.0,6752099.99147,0,2.0,1.0,1.0,90,90,80,1.0,160.0,1.0,28.3,0,0,"12,12",,2008
20080101081014,0.0,4.0,61.0,,3402390.400701,1,1.0,1.0,1.0,0,0,105,0.0,160.0,0.0,30.2,0,0,,,2008
20080101081017,0.0,3.0,63.0,1.0,10314105.045487,0,2.0,1.0,2.0,0,0,90,0.0,180.0,0.0,31.9,0,0,,,2008
20080101081100,0.0,4.0,62.0,,6372304.646028,0,1.0,1.0,1.0,45,0,90,0.0,140.0,1.0,25.6,0,0,8,,2008
20080101081116,0.0,3.0,67.0,,3082174.951948,0,1.0,3.0,2.0,5,1125,135,1.0,208.0,1.0,32.6,0,1,"2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,37,38",,2008
20080101081141,0.0,5.0,66.0,,5051944.61148,1,1.0,1.0,1.0,45,55,60,1.0,132.0,1.0,21.3,0,0,"2,19,19",1.0,2008
20080101081160,0.0,1.0,58.0,1.0,6321633.993397,0,2.0,3.0,3.0,0,0,60,0.0,115.0,0.0,24.0,0,0,,,2008
20080101081180,0.0,3.0,69.0,,4387896.159741,0,,1.0,1.0,2,0,210,0.0,170.0,1.0,25.1,0,0,12,,2008
