TUCASEID,TULINENO,EXLCH,EELCH,EEBRK,EXBRK
20080101080102,3,0,2,2,0
20080101080102,4,0,2,2,0
20080101080102,5,0,1,1,0
20080101080116,2,0,1,2,0
20080101080116,3,0,2,2,0
20080101080119,2,0,1,2,0
20080101080119,3,0,1,2,0
20080101080119,4,0,1,1,0
20080101080119,9,0,1,1,0
20080101080119,10,0,1,1,0
20080101080164,3,0,1,1,0
20080101080164,4,0,1,1,0
20080101080164,5,0,1,1,0
20080101080164,6,0,1,1,0
20080101080164,7,0,1,1,0
20080101080164,8,0,2,2,0
20080101080567,3,0,1,2,0
20080101080600,3,0,1,2,0
20080101080600,4,0,2,2,0
20080101080600,5,0,2,2,0
20080101080753,2,0,1,1,0
20080101080753,3,0,1,1,0
20080101080753,4,0,1,1,0
20080101080753,5,0,1,1,0
20080101080776,3,0,1,2,0
20080101080781,3,0,2,2,0
20080101080781,4,0,2,2,0
20080101080781,5,0,1,1,0
20080101080781,6,0,1,1,0
20080101080921,3,0,1,2,0
20080101080921,4,0,1,2,0
20080101081141,3,0,1,2,0
20080101081373,3,0,1,1,0
20080101081373,4,0,1,1,0
20080101081373,5,0,2,2,0
20080101081373,6,0,2,2,0
20080101081401,3,0,1,2,0
20080101081401,4,0,1,2,0
20080101081511,3,0,1,1,0
20080101081511,4,0,1,1,0
20080101081608,3,0,1,2,0
20080101081612,3,0,1,1,0
20080101081612,4,0,1,1,0
20080101081612,5,0,2,2,0
20080101081708,4,0,1,2,0
20080101081756,4,0,1,2,0
20080101081841,4,0,1,2,0
20080101081980,3,0,1,1,0
20080101081980,4,0,1,1,0
20080101081980,5,0,1,2,0
20080101082102,3,0,1,2,0
20080101082102,4,0,2,2,0
20080101082183,1,0,1,2,0
20080101082183,4,0,2,2,0
20080101082183,6,0,1,2,0
20080101082183,7,0,2,2,0
20080101082183,8,0,2,2,0
20080101082283,3,0,2,2,0
20080101082283,4,0,1,2,0
20080101082283,5,0,2,2,0
20080101082283,6,0,2,2,0
20080101082301,2,0,1,1,0
20080101082339,3,0,2,2,0
20080101082339,4,0,1,2,0
20080101082339,5,0,2,2,0
20080101082343,2,0,1,2,0
20080110071525,1,0,1,2,0
20080110071525,3,0,1,1,0
20080110071660,3,0,1,2,0
20080110071660,4,0,1,2,0
20080110071700,3,0,1,1,0
20080111070095,2,0,1,1,0
20080111070107,2,0,2,1,0
20080111070107,3,0,2,2,0
20080111070544,3,0,1,1,0
20080111070544,4,0,1,1,0
20080111070544,5,0,1,1,0
20080111070548,1,0,1,2,0
20080111070548,3,0,1,2,0
20080111070563,2,0,1,1,0
20080111070582,1,0,1,1,0
20080111070669,3,0,2,2,0
20080111070669,4,0,1,2,0
20080111070679,3,0,1,2,0
20080111070679,4,0,1,1,0
20080111070679,5,0,1,1,0
20080111070767,1,0,1,1,0
20080111070767,4,0,1,1,0
20080111070767,5,0,1,1,0
20080111070767,6,0,1,1,0
20080111070776,1,0,1,2,0
20080111070808,3,0,1,2,0
20080111070808,4,0,1,2,0
20080111070808,5,0,1,2,0
20080111070808,6,0,2,2,0
20080111070809,2,0,1,2,0
20080111070809,3,0,1,2,0
20080111071122,3,0,1,2,0
20080111071122,4,0,1,2,0
20080111071183,3,0,1,1,0
20080111071183,4,0,1,2,0
20080111071183,5,0,1,1,0
20080111071188,3,0,1,2,0
20080111071206,2,0,1,2,0
20080111071206,3,0,1,1,0
20080111071206,4,0,2,2,0
20080111071215,1,0,1,1,0
20080111071215,3,0,1,1,0
20080111071227,1,0,1,1,0
20080111071236,3,0,1,1,0
20080111071293,4,0,1,2,0
20080111071293,5,0,1,2,0
20080111071302,4,0,1,1,0
20080111071302,5,0,1,1,0
20080111071329,3,0,1,2,0
20080111071329,4,0,2,2,0
20080111071329,5,0,2,2,0
20080111071364,3,0,1,2,0
20080111071364,4,0,1,2,0
20080111071364,5,0,2,2,0
20080111071376,3,0,1,2,0
20080111071376,4,0,1,1,0
20080111071517,3,0,1,2,0
20080111071544,3,0,1,1,0
20080111071652,3,0,1,2,0
20080111071652,4,0,2,2,0
20080111071686,4,0,1,2,0
20080111071858,1,0,1,2,0
20080111071882,2,0,1,2,0
20080111071912,3,0,2,2,0
20080111071912,4,0,1,1,0
20080111071946,3,0,1,2,0
20080111071946,4,0,2,2,0
20080111071946,5,0,2,2,0
20080111071954,1,0,1,1,0
20080111071954,3,0,1,2,0
20080111071954,4,0,1,1,0
20080111071986,2,0,1,2,0
20080111071986,3,0,1,2,0
20080111072026,3,0,1,1,0
20080111072026,4,0,2,2,0
20080111072048,3,0,1,2,0
20080111072082,4,0,1,1,0
20080111072108,3,0,1,2,0
20080111072117,3,0,1,2,0
20080111072117,4,0,1,2,0
20080111072117,5,0,1,2,0
20080111072184,3,0,1,2,0
20080111072184,4,0,1,2,0
20080111072196,3,0,2,1,0
20080111072196,4,0,1,1,0
20080111072224,2,0,1,1,0
20080111072224,3,0,1,1,0
20080111072356,2,0,1,2,0
20080111072356,3,0,1,2,0
20080111072403,4,0,1,2,0
20080111072442,3,0,1,2,0
20080111072442,4,0,1,2,0
20080111072442,5,0,1,2,0
20080111072442,6,0,1,2,0
20080112070071,1,0,1,1,0
20080112070071,3,0,1,1,0
20080112070080,2,0,1,2,0
20080112070080,3,0,1,2,0
20080112070087,3,0,1,2,0
20080112070087,5,0,2,2,0
20080112070088,3,0,1,2,0
20080112070088,4,0,2,2,0
20080112070093,3,0,1,1,0
20080112070093,4,0,1,1,0
20080112070093,5,0,1,1,0
20080112070094,3,0,1,1,0
20080112070094,4,0,1,1,0
20080112070095,3,0,1,2,0
20080112070095,4,0,1,2,0
20080112070119,2,0,1,1,0
20080112070119,3,0,1,1,0
20080112070126,3,0,1,1,0
20080112070126,4,0,1,1,0
20080112070129,2,0,2,2,0
20080112070129,4,0,1,1,0
20080112070129,5,0,1,1,0
20080112070129,6,0,2,2,0
20080112070137,2,0,1,1,0
20080112070137,3,0,1,1,0
20080112070137,4,0,1,1,0
20080112070137,5,0,1,1,0
20080112070137,6,0,1,1,0
20080112070137,7,0,2,2,0
20080112070137,8,0,2,2,0
20080112070148,3,0,1,1,0
20080112070148,4,0,1,1,0
20080112070148,5,0,1,1,0
20080112070148,6,0,1,1,0
20080112070148,7,0,1,1,0
20080112070165,3,0,1,2,0
20080112070165,4,0,1,2,0
20080112070166,1,0,1,2,0
20080112070166,3,0,1,2,0
20080112070193,3,0,1,2,0
20080112070198,1,0,1,2,0
20080112070510,3,0,1,1,0
20080112070510,4,0,1,1,0
20080112070514,3,0,1,2,0
20080112070516,3,0,1,1,0
20080112070518,3,0,1,2,0
20080112070524,3,0,1,2,0
20080112070529,3,0,1,2,0
20080112070529,4,0,1,2,0
20080112070529,5,0,2,2,0
20080112070534,2,0,1,2,0
20080112070534,3,0,1,2,0
20080112070541,3,0,1,2,0
20080112070555,3,0,1,2,0
20080112070563,1,0,1,1,0
20080112070563,5,0,2,2,0
20080112070571,3,0,1,2,0
20080112070571,4,0,1,2,0
20080112070572,2,0,1,1,0
20080112070572,3,0,1,1,0
20080112070597,3,0,2,2,0
20080112070597,4,0,2,1,0
20080112070597,5,0,2,2,0
20080112070616,3,10,2,2,0
20080112070616,4,0,1,2,0
20080112070616,5,0,1,2,0
20080112070618,5,0,1,1,0
20080112070618,6,0,1,1,0
20080112070618,7,0,2,2,0
20080112070645,3,0,1,2,0
20080112070645,4,0,2,2,0
20080112070651,1,0,1,2,0
20080112070651,4,0,1,2,0
20080112070719,1,0,1,2,0
20080112070719,4,0,1,2,0
20080112070719,5,0,1,2,0
20080112070719,6,0,2,2,0
20080112070737,3,0,1,2,0
20080112070745,2,0,1,2,0
20080112070749,2,0,2,1,0
20080112070749,3,0,2,2,0
20080112070797,3,0,1,2,0
20080112070799,3,0,1,1,0
20080112070799,4,0,1,1,0
20080112070805,3,0,1,1,0
20080112070805,4,0,1,1,0
20080112070815,3,0,2,2,0
20080112070815,4,0,1,2,0
20080112070815,5,0,1,2,0
20080112070815,6,0,2,1,0
20080112070821,3,0,1,2,0
20080112070821,4,0,1,2,0
20080112070826,4,0,1,1,0
20080112070829,3,0,1,2,0
20080112070829,4,0,1,2,0
20080112070834,1,0,2,2,0
20080112070834,4,0,1,2,0
20080112070834,5,0,2,2,0
20080112070837,3,0,1,2,0
20080112070837,4,0,1,2,0
