TUCASEID,TULINENO,EEINCOME1,ERBMI,ERHHCH,ERINCOME,ERSPEMCH,ERTPREAT,ERTSEAT,ETHGT,ETWGT,EUDIETSODA,EUDRINK,EUEAT,EUEXERCISE,EUEXFREQ,EUFASTFD,EUFASTFDFRQ,EUFFYDAY,EUFDSIT,EUFINLWGT,EUSNAP,EUGENHTH,EUGROSHP,EUHGT,EUINCLVL,EUINCOME2,EUMEAT,EUMILK,EUPRPMEL,EUSODA,EUSTORES,EUSTREASON,EUTHERM,EUWGT,EUWIC,EXINCOME1
20140101141796,1,1,29.5,3,1,5,75,15,0,0,1,1,1,1,3,1,2,2,1,  3043446.205145,2,2,2,74,5,-1,-1,-1,2,1,-1,-1,-1,230,2,0
20140101141817,1,1,29.0,3,1,5,25,15,0,0,1,1,1,1,3,2,-1,-1,1,  4967072.779484,2,2,1,75,5,-1,1,2,3,1,2,1,2,232,-1,0
20140101141837,1,-2,-1.0,3,-1,-1,150,0,-1,-1,-1,2,2,1,3,1,3,2,1, 12443150.719382,2,3,1,-2,5,-2,1,2,1,-1,1,3,2,-2,-1,2
20140101141841,1,1,20.8,3,1,-1,140,60,0,0,-1,1,1,1,5,2,-1,-1,1,  2031124.869980,2,2,1,62,5,-1,2,2,1,2,1,3,-1,114,-1,0
20140101141860,1,2,24.4,3,5,-1,17,0,0,0,-1,1,2,2,-1,1,2,2,2,  3451716.013898,2,3,3,71,5,3,1,2,3,2,2,2,2,175,2,0
20140101141863,1,2,20.8,3,5,-1,40,0,0,0,-1,1,2,2,-1,2,-1,-1,1,  4017245.515663,1,2,1,62,5,2,1,2,1,2,2,1,2,114,1,0
20140101141897,1,1,36.6,3,1,5,20,40,0,0,-1,1,1,2,-1,1,1,2,1,  9742015.468527,2,4,2,62,5,-1,1,2,1,2,-1,-1,2,200,-1,0
20140101141928,1,1,27.4,3,1,5,120,2,0,0,2,1,1,1,2,1,3,1,1,  7287974.074803,2,2,3,68,5,-1,-1,-1,2,1,2,1,-1,180,2,0
20140101142008,1,3,32.0,3,2,-1,65,70,0,0,-1,1,1,2,-1,1,2,2,1,  6595188.014663,2,3,1,66,5,-1,1,2,1,2,1,2,2,198,-1,0
20140101142020,1,1,24.3,3,1,-1,35,20,0,0,-1,2,1,1,1,1,10,1,1,  3977557.101584,2,2,1,68,5,-1,1,2,1,-1,1,2,2,160,2,0
20140101142022,1,1,30.2,3,1,-1,20,0,0,0,-1,2,2,1,7,1,4,2,1,  3061841.796721,2,3,1,62,5,-1,1,2,1,-1,1,4,2,165,2,0
20140101142036,1,1,26.6,3,1,-1,80,7,0,0,-1,2,1,1,3,2,-1,-1,1, 31130120.071100,2,3,2,68,5,-1,-1,-1,2,-1,-1,-1,-1,175,2,0
20140101142043,1,1,37.6,3,1,5,40,0,0,0,-1,1,2,2,-1,1,2,2,1, 10073476.838131,2,3,1,67,5,-1,1,2,1,2,2,4,2,240,2,0
20140101142048,1,1,21.3,3,1,5,50,30,0,0,-1,2,1,1,2,2,-1,-1,1,  5582230.848370,2,3,1,63,5,-1,1,2,1,-1,1,4,2,120,2,0
20140101142071,1,1,-1.0,3,1,-1,0,20,0,-1,-1,1,1,2,-1,1,4,1,1,  4064887.712118,2,2,1,65,5,-1,1,2,1,2,2,4,2,-5,2,0
20140101142108,1,2,33.4,3,3,-1,90,10,0,0,-1,2,1,1,2,2,-1,-1,1,  5589499.197410,2,3,1,58,5,1,2,2,1,-1,1,1,-1,160,-1,0
20140101142132,1,1,-1.0,3,1,5,120,0,0,-1,-1,2,2,2,-1,1,6,1,1,  6632030.023554,2,4,1,71,5,-3,1,2,1,-1,1,4,1,-3,2,81
20140101142146,1,2,28.3,1,2,5,120,10,0,0,-1,2,1,1,1,2,-1,-1,1,  8323760.378120,2,3,1,65,5,-2,1,2,1,-1,2,2,2,170,2,0
20140101142168,1,1,30.4,3,1,-1,30,10,0,0,-1,2,1,2,-1,1,1,2,1,  6452488.688062,2,3,1,70,5,-1,1,2,1,-1,2,4,2,212,-1,0
20140101142188,1,-3,25.2,3,-1,5,70,60,0,0,-1,2,1,1,21,1,1,2,1, 11597334.014741,2,2,2,72,5,-3,1,2,3,-1,-1,-1,1,186,-1,3
20140101142193,1,1,28.6,3,1,5,45,0,0,0,-1,2,2,1,10,1,5,2,1, 13708596.206043,2,2,3,76,5,-1,1,2,3,-1,1,2,2,235,-1,0
20140101142205,1,1,32.2,3,1,5,30,30,0,0,1,1,1,1,3,1,3,2,1, 12345369.883208,2,4,1,60,5,-1,1,2,1,1,1,1,2,165,-1,0
20140101142228,1,2,31.8,3,3,5,0,30,0,0,-1,1,1,2,-1,1,2,2,1,  6337684.695986,2,4,1,64,5,1,1,2,1,2,1,1,1,185,2,0
20140101142230,1,2,25.8,3,3,-1,45,60,0,0,2,1,1,2,-1,2,-1,-1,1,  2422205.505786,2,3,1,66,5,1,1,2,1,1,2,4,2,160,2,0
20140101142236,1,2,21.1,3,3,-1,106,60,0,0,2,1,1,1,1,1,1,2,1, 17280006.820780,2,1,2,67,5,1,-1,-1,2,1,-1,-1,-1,135,2,0
20140101142253,1,1,29.1,3,1,5,120,0,0,0,-1,1,2,1,5,1,1,2,1, 19366717.839989,2,3,1,65,5,-1,2,2,1,2,1,3,-1,175,2,0
20140101142257,1,-2,29.3,3,-1,-1,60,0,0,0,2,1,2,2,-1,2,-1,-1,1,  1838743.667391,2,2,1,58,5,-2,-1,-1,2,1,1,-2,-1,140,-1,2
20140101142265,1,2,22.3,3,5,5,90,0,0,0,2,1,2,2,-1,1,1,1,1, 10215945.059937,1,4,1,64,5,3,1,2,1,1,2,2,2,130,1,0
20140101142278,1,3,30.7,3,2,-1,60,0,0,0,-1,2,2,1,2,1,1,2,1, 10642244.956594,2,3,2,71,5,-1,-1,-1,2,-1,-1,-1,-1,220,-1,0
20140101142301,1,1,23.6,2,1,-1,29,0,0,0,-1,2,2,2,-1,1,2,1,1, 15228445.270828,2,3,1,65,5,-1,1,2,1,-1,2,4,2,142,-1,0
20140101142319,1,-3,23.6,3,-1,-1,45,0,0,0,1,1,2,2,-1,1,1,2,1,  4375671.477529,2,3,1,61,5,-3,2,2,1,1,2,1,-1,125,-1,3
20140101142325,1,-3,28.2,3,-1,-1,90,0,0,0,2,1,2,2,-1,1,1,2,1,  7693787.264796,2,2,1,66,5,-3,2,2,1,1,1,2,-1,175,-1,3
20140101142328,1,1,23.0,3,1,-1,0,20,0,0,1,1,1,1,2,1,4,2,1,  4443882.313074,1,3,1,65,5,-1,2,2,1,1,2,1,-1,138,-1,0
20140101142357,1,2,31.7,3,3,5,25,30,0,0,1,1,1,1,3,1,2,2,1,  4197993.808431,1,2,2,69,5,1,1,2,1,1,-1,-1,2,215,2,0
20140101142363,1,1,27.5,3,1,-1,75,0,0,0,-1,2,2,2,-1,2,-1,-1,1,  1878210.762632,2,3,1,64,5,-1,1,2,1,-1,1,2,2,160,-1,0
20140101142378,1,2,29.0,3,3,5,15,2,0,0,2,1,1,1,3,1,2,2,1,  6225885.188297,2,3,1,67,5,1,1,2,1,1,1,6,1,185,2,0
20140101142406,1,1,24.8,3,1,-1,0,20,0,0,-1,1,1,1,5,1,1,2,1,  8263566.562140,2,2,1,69,5,-1,1,2,1,2,3,1,2,168,2,0
20140101142416,1,1,32.9,3,1,5,40,50,0,0,-1,1,1,2,-1,2,-1,-1,1, 12656587.099912,2,2,1,62,5,-1,1,2,1,2,1,2,2,180,-1,0
20140101142417,1,1,19.7,3,1,5,90,10,0,0,-1,1,1,2,-1,1,2,2,1,  3371634.174513,2,2,1,64,5,-1,1,2,1,2,2,1,2,115,2,0
20140101142433,1,1,17.2,3,1,5,60,35,0,0,-1,1,1,1,4,2,-1,-1,1,  3057383.276168,2,1,2,64,5,-1,1,2,3,2,-1,-1,2,100,-1,0
20140101142452,1,1,25.6,3,1,-1,15,30,0,0,-1,1,1,1,4,2,-1,-1,1,  1567510.708013,2,2,1,62,5,-1,1,2,1,2,1,2,2,140,-1,0
20140110130935,1,1,35.4,3,1,5,180,630,0,0,-1,2,1,2,-1,2,-1,-1,1,  2945120.901160,2,5,3,63,5,-1,1,2,1,-1,1,1,2,200,-1,0
20140110132111,1,1,25.1,3,1,5,85,150,0,0,-1,1,1,1,4,1,2,2,1,  2662897.662688,2,2,3,72,5,-1,-1,-1,2,2,1,4,-1,185,2,0
20140110132335,1,1,26.9,3,1,-1,55,15,0,0,-1,1,1,1,7,2,-1,-1,1,  1504183.098192,2,2,1,63,5,-1,1,2,1,2,1,3,2,152,-1,0
20140111130038,1,2,21.1,2,5,-1,15,0,0,0,-1,2,2,1,7,2,-1,-1,1,  5053553.095384,1,3,1,66,5,2,1,2,1,-1,1,2,2,131,2,0
20140111130133,1,2,26.9,3,5,-1,30,0,0,0,-1,2,2,2,-1,2,-1,-1,1,  3011965.831058,1,3,1,62,5,2,1,1,1,-1,1,1,2,147,-1,0
20140111130136,1,2,33.2,3,3,5,120,0,0,0,-1,2,2,1,2,1,2,1,1, 13511890.713653,2,2,2,69,5,1,-1,-1,2,-1,-1,-1,-1,225,-1,0
20140111130147,1,1,28.3,3,1,5,25,50,0,0,-1,1,1,2,-1,1,7,2,1,  4428597.231471,2,2,1,63,5,-1,1,2,1,2,2,2,2,160,-1,0
20140111130176,1,1,34.2,3,1,5,90,15,0,0,-1,1,1,1,2,1,1,2,1,  9904728.495929,2,4,2,71,5,-1,1,2,3,2,-1,-1,2,245,2,0
20140111130501,1,2,31.8,3,5,-1,25,0,0,0,-1,2,2,2,-1,1,2,2,1, 56404879.219022,2,1,1,66,5,2,-1,-1,2,-1,3,3,-1,197,2,0
20140111130502,1,1,23.8,1,1,5,135,0,0,0,2,1,2,1,1,1,1,2,1,  7511613.052840,2,2,2,65,5,-1,-1,-1,2,1,-1,-1,-1,143,2,0
20140111130503,1,2,42.8,3,5,-1,30,5,0,0,-1,2,1,2,-1,2,-1,-1,1,  4787053.575517,2,4,1,69,5,3,1,2,1,-1,1,2,2,290,2,0
20140111130508,1,2,23.7,3,3,-1,50,20,0,0,2,1,1,1,2,2,-1,-1,1, 13944372.402508,2,1,2,72,5,1,-1,-1,2,1,-1,-1,-1,175,-1,0
20140111130521,1,1,21.7,3,1,5,45,40,0,0,-1,2,1,1,6,1,6,1,1,  3541175.281609,2,1,3,58,5,-1,1,2,1,-1,2,2,2,104,2,0
20140111130562,1,1,27.4,3,1,5,70,20,0,0,-1,1,1,1,3,2,-1,-1,1,  4759419.945217,2,2,1,67,5,-1,1,2,1,2,1,2,2,175,-1,0
20140111130564,1,1,26.5,3,1,5,60,120,0,0,-1,1,1,2,-1,2,-1,-1,1,  5996265.363293,2,1,1,70,5,-1,-1,-1,2,2,1,1,-1,185,2,0
20140111130568,1,1,36.6,3,1,5,75,0,0,0,-1,1,2,1,3,2,-1,-1,1,  2896358.681886,2,3,1,62,5,-1,1,2,1,2,1,5,2,200,2,0
20140111130584,1,1,30.4,3,1,-1,45,30,0,0,2,1,1,1,4,1,3,2,1,  6280398.820258,2,3,2,68,5,1,-1,-1,2,1,-1,-1,-1,200,2,73
20140111130585,1,2,22.1,3,5,-1,50,0,0,0,-1,1,2,1,5,2,-1,-1,1, 21824054.498803,2,3,2,63,5,2,-1,-1,2,2,-1,-1,-1,125,2,0
20140111130596,1,1,21.3,3,1,-1,75,5,0,0,-1,1,1,1,3,1,1,2,1,  2468153.424326,2,1,1,63,5,-1,1,2,1,2,1,4,1,120,2,0
20140111130618,1,2,37.0,3,5,5,120,0,2,0,-1,2,2,2,-1,2,-1,-1,1, 10733368.020708,1,3,1,56,5,2,-1,-1,2,-1,2,1,-1,165,2,0
20140111130624,1,1,26.2,2,1,5,65,10,0,0,-1,1,1,2,-1,1,4,2,1,  8031346.995215,2,2,1,67,5,-1,1,1,1,2,2,2,2,167,2,0
20140111130650,1,1,25.9,3,1,5,75,0,0,0,-1,2,2,1,7,2,-1,-1,1,  5056800.353191,2,3,1,71,5,-1,1,2,1,-1,1,2,2,186,2,0
20140111130720,1,1,27.7,3,1,5,105,2,0,0,2,1,1,1,4,2,-1,-1,1,  6132371.779832,2,1,1,73,5,-1,1,2,1,1,1,4,1,210,-1,0
20140111130730,1,1,18.5,3,1,5,75,-2,0,0,-1,1,-2,2,-1,1,2,1,1,  4334633.227140,2,4,1,68,5,-1,1,2,1,2,1,1,2,122,-1,0
20140111130758,1,2,27.1,3,3,-1,20,7,0,0,-1,1,1,2,-1,1,2,2,1, 13404967.355277,2,1,1,66,5,1,1,2,1,2,1,1,2,168,-1,0
20140111130843,1,1,32.5,3,1,5,60,30,0,0,1,1,1,1,4,2,-1,-1,1,  5593555.407324,2,2,3,75,5,-1,1,2,3,1,1,2,2,260,2,0
20140111130858,1,2,-1.0,3,5,-1,20,0,0,-1,-1,1,2,2,-1,1,1,1,1,  1046395.362256,1,3,1,63,5,2,1,2,1,2,2,1,2,-3,-1,0
20140111130862,1,2,14.9,3,3,-1,15,5,0,2,-1,2,1,2,-1,2,-1,-1,1,  5462662.483216,2,3,1,68,5,1,1,2,1,-1,2,4,2,98,-1,0
20140111130868,1,2,36.9,3,5,5,150,450,0,0,-1,2,1,2,-1,1,2,2,1,  2521142.792346,2,3,2,69,5,3,-1,-1,2,-1,-1,-1,-1,250,2,0
20140111130922,1,3,27.4,3,2,5,240,405,0,0,1,1,1,1,2,1,3,2,1, 14601727.125461,2,1,1,67,5,-1,1,2,1,1,2,1,2,175,2,0
20140111130929,1,1,23.8,3,1,3,155,0,0,0,-1,1,2,1,4,1,1,1,1,  2158072.797438,2,3,3,62,5,-1,1,2,1,2,1,2,1,130,-1,0
20140111130952,1,2,31.9,3,5,-1,90,0,0,0,-1,1,2,2,-1,2,-1,-1,1, 21555582.973122,2,4,2,65,5,2,-1,-1,2,2,-1,-1,-1,192,2,0
20140111130981,1,1,23.0,3,1,5,40,0,0,0,-1,2,2,2,-1,1,2,1,1,  3228744.404221,2,3,3,63,5,-1,1,2,3,-1,2,3,2,130,2,0
20140111130984,1,1,19.2,3,1,-1,15,85,0,0,-1,1,1,1,4,1,4,1,1,  6736186.606623,1,2,2,62,5,-1,-1,-1,2,2,-1,-1,-1,105,2,0
20140111130986,1,1,30.1,3,1,5,180,9,0,0,-1,1,1,1,1,2,-1,-1,1,  3827014.429431,2,2,1,70,5,-1,1,2,1,2,1,5,2,210,2,0
20140111130991,1,1,24.6,3,1,5,90,0,0,0,-1,2,2,1,2,2,-1,-1,1, 11085010.303021,2,1,1,61,5,-1,1,2,1,-1,1,2,2,130,2,0
20140111130997,1,3,26.4,3,2,4,70,110,0,0,2,1,1,1,1,1,2,2,1,  5687954.611208,2,2,1,60,5,-1,1,2,1,1,1,2,2,135,-1,0
20140111130998,1,1,20.6,2,1,-1,60,20,0,0,-1,1,1,1,2,1,1,2,1, 27845287.188410,2,2,2,71,5,-2,1,2,1,2,-1,-1,2,148,2,73
20140111131007,1,2,-1.0,3,5,-1,105,0,-1,0,-1,2,2,2,-1,2,-1,-1,1,  2776191.471891,2,4,1,-2,5,2,1,2,1,-1,4,2,1,140,-1,0
