TUCASEID,TULINENO,EEINCOME1,ERBMI,ERHHCH,ERINCOME,ERSPEMCH,ERTPREAT,ERTSEAT,ETHGT,ETWGT,EUDIETSODA,EUDRINK,EUEAT,EUEXERCISE,EUEXFREQ,EUFASTFD,EUFASTFDFRQ,EUFFYDAY,EUFDSIT,EUFINLWGT,EUSNAP,EUGENHTH,EUGROSHP,EUHGT,EUINCLVL,EUINCOME2,EUMEAT,EUMILK,EUPRPMEL,EUSODA,EUSTORES,EUSTREASON,EUTHERM,EUWGT,EUWIC,EXINCOME1
20140101140007,1,-2,33.2,1,-1,-1,30,2,0,0,-1,2,1,2,-1,2,-1,-1,1,  5202085.314119,1,1,1,60,5,-2,1,2,1,-1,2,1,2,170,1,2
20140101140011,1,1,22.7,3,1,-1,45,14,0,0,-1,2,1,2,-1,1,1,2,1, 29396790.658196,2,2,3,63,5,-1,1,2,1,-1,1,2,2,128,2,0
20140101140028,1,2,49.4,3,5,-1,60,0,0,0,-1,1,2,2,-1,2,-1,-1,1, 26009935.596696,2,5,2,62,5,2,-1,-1,2,2,-1,-1,-1,270,2,12
20140101140063,1,-2,-1.0,3,-1,-1,0,0,0,-1,2,1,2,2,-1,2,-1,-1,1,  2728880.367910,2,2,1,64,5,-2,2,2,1,1,2,6,-1,-2,2,2
20140101140168,1,2,31.0,3,5,-1,65,0,0,0,-1,1,2,1,5,2,-1,-1,1, 17527153.270430,1,4,1,69,5,2,1,2,1,2,1,1,2,210,1,0
20140101140559,1,1,30.7,3,1,1,20,10,0,0,1,1,1,1,2,1,3,1,1,  3661279.751214,2,3,2,71,5,-1,-1,-1,2,1,-1,-1,-1,220,2,0
20140101140610,1,1,33.3,1,1,5,30,5,0,0,-1,1,1,2,-1,1,3,2,1, 11614799.180909,2,2,3,65,5,-1,1,2,3,2,2,5,2,200,2,0
20140101140614,1,1,27.5,3,1,-1,30,5,0,0,-1,2,1,1,3,1,1,2,1,  1969349.798763,2,2,1,63,5,-1,1,2,1,-1,1,3,2,155,-1,0
20140101140639,1,1,25.8,3,1,-1,117,10,0,0,-1,2,1,1,6,2,-1,-1,1,  6077104.540561,2,3,1,70,5,-1,1,2,1,-1,1,4,2,180,-1,0
20140101140665,1,1,28.3,3,1,5,80,0,0,0,2,1,2,2,-1,1,2,1,1,  5179965.673980,2,1,1,65,5,-1,1,2,1,1,3,1,2,170,-1,0
20140101140685,1,1,40.5,3,1,-1,35,20,0,0,1,1,1,2,-1,1,5,2,1,  7151100.699004,2,4,1,70,5,-1,-1,-1,2,1,1,1,-1,282,-1,0
20140101140702,1,2,28.0,1,5,-1,0,5,2,0,-1,1,1,2,-1,2,-1,-1,1,  7357354.052686,2,3,1,56,5,2,1,2,1,2,1,2,2,125,1,0
20140101140725,1,1,27.9,3,1,5,25,10,1,0,-1,1,1,2,-1,1,5,1,1,  7657661.938883,2,3,2,77,5,-1,-1,-1,2,2,-1,-1,-1,235,2,0
20140101140759,1,2,30.4,3,5,5,150,5,0,0,1,1,1,2,-1,2,-1,-1,1, 23043391.371621,2,3,2,68,5,3,-1,-1,2,1,-1,-1,-1,200,-1,0
20140101140792,1,2,26.8,3,5,-1,0,300,0,0,-1,2,1,2,-1,1,1,2,1, 18758639.110561,2,2,2,68,5,3,-1,-1,2,-1,-1,-1,-1,176,-1,0
20140101140804,1,1,32.9,3,1,5,80,0,0,0,-1,2,2,2,-1,1,3,1,1,  6754358.820819,2,3,2,65,5,-1,-1,-1,2,-1,-1,-1,-1,198,2,0
20140101140836,1,3,25.8,3,2,-1,105,2,0,0,-1,1,1,1,7,2,-1,-1,1,  2229360.530070,2,2,1,60,5,-1,1,2,1,2,1,2,2,132,-1,0
20140101140852,1,1,26.5,3,1,-1,60,5,0,0,-1,2,1,1,4,2,-1,-1,1,  2174424.754637,2,2,1,66,5,-1,1,2,1,-1,1,2,1,164,-1,0
20140101140854,1,-2,35.2,3,-1,-1,30,1,0,0,2,1,1,2,-1,1,2,2,1,  4989008.506073,2,2,2,64,5,-2,-1,-1,2,1,-1,-1,-1,205,2,2
20140101140872,1,1,-1.0,3,1,5,0,10,0,-1,-1,1,1,1,4,2,-1,-1,1,  8319955.656417,2,4,3,65,5,-1,1,2,1,2,1,2,1,-3,2,0
20140101140875,1,1,25.3,3,1,5,47,15,0,0,2,1,1,2,-1,1,1,2,1, 14110203.361073,2,2,2,70,5,-1,2,2,3,1,-1,-1,-1,176,-1,0
20140101140876,1,1,33.4,3,1,5,90,0,0,0,-1,1,2,2,-1,1,3,1,1,  4744276.322680,2,3,3,58,5,-1,1,2,1,2,2,1,2,160,-1,0
20140101140885,1,-3,25.5,3,-1,-1,45,0,0,0,-1,2,2,2,-1,1,1,1,1,  5131319.522523,2,2,1,61,5,-3,1,2,1,-1,1,1,2,135,-1,3
20140101140911,1,1,30.0,3,1,5,180,10,0,0,-1,1,1,2,-1,1,1,2,1, 10308975.759665,2,5,1,65,5,-1,1,2,1,2,1,3,2,180,-1,0
20140101140940,1,1,34.3,3,1,5,30,10,0,0,2,1,1,2,-1,1,2,2,1,  3958890.209398,2,4,2,73,5,-1,-1,-1,2,1,-1,-1,-1,260,2,0
20140101140958,1,1,29.1,1,1,5,90,10,0,0,-1,2,1,2,-1,2,-1,-1,1, 10194594.673175,2,3,1,62,5,-1,-1,-1,2,-1,1,1,-1,159,2,0
20140101140967,1,2,23.8,3,5,-1,65,5,0,0,1,1,1,2,-1,2,-1,-1,1,  3853025.344226,2,2,1,62,5,2,1,2,1,1,2,2,2,130,-1,0
20140101140973,1,2,26.5,3,5,5,90,0,0,0,-1,2,2,1,7,2,-1,-1,1, 13164552.103606,2,1,2,73,5,3,-1,-1,2,-1,-1,-1,-1,201,2,0
20140101140990,1,1,36.6,3,1,-1,10,3,0,0,-1,1,1,1,4,2,-1,-1,1,  5506049.824229,2,2,1,72,5,-1,1,2,3,2,2,6,2,270,-1,0
20140101140995,1,1,28.2,3,1,5,95,0,0,0,-1,2,2,1,2,2,-1,-1,1,  7947619.033266,2,2,1,66,5,-1,1,2,1,-1,2,4,2,175,2,0
20140101141014,1,1,19.8,3,1,-1,130,30,0,0,2,1,1,1,1,2,-1,-1,1, 14601883.241271,2,2,2,61,5,-1,-1,-1,2,1,-1,-1,-1,105,2,0
20140101141056,1,2,21.5,3,5,-1,20,0,0,0,-1,1,2,2,-1,2,-1,-1,1,  5255983.534835,1,3,2,64,5,2,1,2,1,2,-1,-1,2,125,-1,0
20140101141081,1,2,21.2,3,5,-1,130,0,0,0,-1,2,2,1,7,2,-1,-1,1,  2194520.494913,2,2,1,75,5,3,1,2,1,-1,1,2,2,170,-1,0
20140101141134,1,1,27.1,3,1,5,105,0,0,0,-1,2,2,1,3,2,-1,-1,1, 14374722.225978,2,2,3,70,5,-1,2,2,3,-1,1,6,-1,189,-1,0
20140101141177,1,1,30.6,3,1,-1,85,0,0,0,-1,1,2,1,5,1,1,2,1,  3411130.507759,2,2,1,64,5,-1,2,2,1,2,2,2,-1,178,-1,0
20140101141179,1,-3,31.6,3,-1,-1,30,4,0,0,-1,1,1,1,4,2,-1,-1,1, 13323494.785271,2,1,2,65,5,-3,1,2,1,2,-1,-1,2,190,-1,3
20140101141180,1,1,18.3,3,1,-1,145,0,0,0,-1,1,2,1,2,1,4,2,1,  8027658.135326,2,2,1,65,5,-1,1,2,1,2,1,2,2,110,2,0
20140101141214,1,2,26.5,3,5,-1,60,5,0,0,-1,2,1,1,5,2,-1,-1,1,  5309091.096806,1,3,1,62,5,2,1,2,1,-1,1,2,2,145,-1,0
20140101141232,1,3,24.2,3,2,-1,15,0,0,0,2,1,2,2,-1,1,1,2,1,  1792705.675345,2,2,1,60,5,-1,1,2,1,1,1,1,2,124,-1,0
20140101141282,1,2,27.4,3,5,-1,30,0,0,0,-1,1,2,2,-1,2,-1,-1,1,  1889443.726421,1,5,1,62,5,2,1,2,1,2,1,1,2,150,-1,0
20140101141288,1,2,25.8,3,5,-1,45,0,0,0,-1,2,2,1,3,1,3,2,1,  4250445.078077,2,2,1,71,5,2,1,2,1,-1,2,1,2,185,-1,0
20140101141321,1,1,23.5,3,1,5,5,15,0,0,-1,1,1,2,-1,1,1,1,1,  5646240.288102,2,1,3,67,5,-1,-1,-1,2,2,2,6,-1,150,-1,0
20140101141331,1,1,25.7,3,1,-1,150,0,0,0,-1,2,2,1,7,2,-1,-1,1,  7639916.165713,2,3,1,63,5,-1,1,2,1,-1,1,3,2,145,-1,0
20140101141365,1,3,33.7,3,2,5,170,5,0,0,-1,2,1,1,4,2,-1,-1,1,  2887357.639525,2,4,3,70,5,-1,1,2,3,-1,3,1,1,235,-1,0
20140101141379,1,1,22.5,3,1,-1,45,10,0,0,-1,1,1,1,3,2,-1,-1,1,  1450659.438725,2,1,1,74,5,-1,1,2,1,2,1,2,2,175,2,0
20140101141381,1,1,25.8,3,1,5,120,5,0,0,-1,2,1,2,-1,1,4,2,1,  6446862.296592,2,2,1,67,5,-1,1,2,1,-1,3,3,2,165,2,0
20140101141386,1,1,26.5,3,1,-1,120,0,0,0,-1,1,2,1,6,1,7,1,1,  4570668.487272,2,3,1,67,5,-3,1,2,1,2,1,2,2,169,-1,81
20140101141409,1,1,28.3,3,1,-1,45,0,0,0,-1,1,2,1,5,1,4,1,1,  9823041.877407,2,4,2,65,5,-2,-1,-1,2,2,-1,-1,-1,170,2,75
20140101141418,1,1,19.5,3,1,2,134,15,0,0,-1,1,1,1,14,1,3,2,1, 10516374.200079,2,1,1,60,5,-1,1,2,1,2,1,2,2,100,-1,0
20140101141430,1,3,23.7,3,2,5,60,30,0,0,-1,1,1,2,-1,1,2,1,1,  4560262.977920,2,4,2,72,5,-1,-1,-1,2,2,-1,-1,-1,175,-1,0
20140101141449,1,1,23.5,1,1,-1,45,22,0,0,-1,2,1,1,3,1,3,1,1, 10317680.598674,2,3,2,67,5,-1,-1,-1,2,-1,-1,-1,-1,150,2,0
20140101141488,1,1,21.8,3,1,-1,40,20,0,0,1,1,1,1,2,1,3,2,1,  3129315.023965,2,3,1,64,5,-1,1,2,1,1,1,3,1,127,2,0
20140101141502,1,2,25.8,3,3,5,85,120,0,0,-1,2,1,1,7,2,-1,-1,1, 17749943.366396,2,2,2,69,5,1,-1,-1,2,-1,-1,-1,-1,175,-1,0
20140101141515,1,1,36.0,3,1,-1,125,90,0,0,1,1,1,2,-1,1,4,1,1,  2803015.573397,2,4,1,68,5,-1,1,2,1,1,2,1,2,237,-1,0
20140101141556,1,1,34.9,3,1,-1,75,2,0,0,-1,1,1,1,4,1,2,2,1,  6412080.758910,2,3,1,71,5,-1,1,2,1,2,1,3,2,250,-1,0
20140101141584,1,1,28.1,3,1,5,42,15,0,0,-1,2,1,2,-1,1,1,1,1,  8620966.791586,2,2,1,69,5,-1,1,2,1,-1,1,2,2,190,2,0
20140101141589,1,1,29.0,3,1,5,53,0,0,0,-1,1,2,2,-1,2,-1,-1,1, 14256405.171079,2,2,1,66,5,-1,1,2,1,2,1,5,2,180,-1,0
20140101141629,1,1,24.3,3,1,5,0,55,0,0,1,1,1,2,-1,1,1,2,1, 14243200.657445,2,3,3,68,5,-1,1,2,1,1,2,4,1,160,-1,0
20140101141646,1,1,29.0,3,1,5,45,20,0,0,-1,1,1,2,-1,1,2,2,1,  7277042.417330,2,2,1,70,5,-1,1,2,1,2,1,3,2,202,2,0
20140101141661,1,1,34.7,3,1,5,120,0,0,0,-1,1,2,1,1,1,2,2,1,  5549820.168327,2,4,3,74,5,-1,1,2,3,2,1,6,2,270,2,0
20140101141672,1,2,-1.0,3,5,5,25,15,0,-1,1,1,1,2,-1,1,2,2,1, 28248591.690697,1,2,1,64,5,2,1,2,1,1,2,1,1,-5,1,0
20140101141687,1,1,26.5,3,1,5,40,2,0,0,-1,2,1,2,-1,1,3,1,1, 15361851.628921,2,2,2,70,5,-1,-1,-1,2,-1,-1,-1,-1,185,2,0
20140101141690,1,1,24.2,2,1,-1,0,10,0,0,-1,2,1,2,-1,1,2,1,1, 10277276.983297,2,3,2,66,5,-2,-1,-1,2,-1,-1,-1,-1,150,2,73
20140101141724,1,2,31.1,3,5,-1,65,5,0,0,1,1,1,2,-1,2,-1,-1,1,  1906750.459598,2,2,1,65,5,2,1,2,1,1,1,1,2,187,-1,0
20140101141777,1,1,26.6,3,1,-1,70,120,0,0,-1,1,1,2,-1,2,-1,-1,1, 10031106.991959,2,3,2,64,5,-1,-1,-1,2,2,-1,-1,-1,155,-1,0
20140101141795,1,1,30.1,3,1,-1,60,15,0,0,-1,2,1,2,-1,1,3,2,1,  4322265.943968,2,3,1,70,5,-1,1,2,1,-1,2,4,2,210,2,0
