case_id,snap_benefits,general_health,height_in,income_130_pov,statistical_weight,num_children,income_185_pov,meal_preparer,grocery_shopper,secondary_eating_duration,secondary_drinking_duration,primary_eating_duration,secondary_drinking_day_prior,weight_lb,secondary_eating_day_prior,bmi,secondary_eating_all_day,secondary_drinking_all_day,activity_list,assisted_meals,year
20060101060001,0.0,3,66,2.0,3378222.908537,0,2.0,1.0,1.0,5,0,10,0.0,155.0,1.0,25.0,,,20,,2006
20060101060014,0.0,1,67,1.0,3498809.228075,2,2.0,2.0,1.0,0,0,40,0.0,230.0,0.0,36.0,,,,,2006
20060101060025,0.0,4,71,,5787732.652211,0,1.0,1.0,2.0,10,120,15,1.0,188.0,1.0,26.2,,,"6,6",,2006
20060101060033,0.0,3,60,,5166712.377433,2,1.0,2.0,2.0,15,143,60,1.0,135.0,1.0,26.4,,,"2,3,5,12,17",2.0,2006
20060101060038,0.0,3,68,,6425096.18779,0,1.0,1.0,2.0,10,45,80,1.0,162.0,1.0,24.6,,,"3,3",,2006
20060101060049,1.0,3,68,1.0,8182481.345055,1,2.0,1.0,1.0,10,30,30,1.0,180.0,1.0,27.4,,,"8,8",,2006
20060101060057,1.0,2,59,2.0,15338973.455085998,4,2.0,1.0,1.0,75,13,0,1.0,165.0,1.0,33.3,,,"3,8,9,16,18,19,21,21",4.0,2006
20060101060067,0.0,5,66,1.0,11274207.555951,2,2.0,3.0,3.0,0,0,40,0.0,140.0,0.0,22.6,,,,,2006
20060101060077,0.0,5,62,2.0,8395847.110574001,0,2.0,1.0,1.0,15,0,80,0.0,151.0,1.0,27.6,,,"8,9",,2006
20060101060092,0.0,2,66,2.0,15932621.498572,2,2.0,3.0,3.0,10,0,60,0.0,190.0,1.0,30.7,,,13,2.0,2006
20060101060106,1.0,4,61,,14829703.700941,1,1.0,3.0,1.0,0,0,55,0.0,138.0,0.0,26.1,,,,,2006
20060101060108,1.0,4,67,2.0,5877023.559066,4,2.0,1.0,1.0,0,0,15,0.0,208.0,0.0,32.6,,,,,2006
20060101060500,0.0,2,66,1.0,4429092.575312001,1,2.0,1.0,1.0,0,0,120,0.0,160.0,0.0,25.8,,,,,2006
20060101060502,0.0,4,63,,2320451.715293,0,1.0,1.0,1.0,0,0,75,0.0,160.0,0.0,28.3,,,,,2006
20060101060533,0.0,3,62,1.0,2990965.83828,0,2.0,1.0,1.0,0,0,30,0.0,150.0,0.0,27.4,,,,,2006
20060101060534,0.0,4,67,,2168900.828607,1,1.0,1.0,1.0,30,90,30,1.0,149.0,1.0,23.3,,,"1,12,13",1.0,2006
20060101060536,0.0,4,74,,16420340.13778,0,1.0,3.0,3.0,0,0,37,0.0,187.0,0.0,24.0,,,,,2006
20060101060545,0.0,2,71,,2341058.475878,2,1.0,3.0,1.0,0,0,165,0.0,140.0,0.0,19.5,,,,,2006
20060101060566,0.0,5,62,,4803812.391551999,0,1.0,2.0,2.0,0,0,15,0.0,135.0,0.0,24.7,,,,,2006
20060101060572,0.0,2,64,2.0,5791011.924461,0,2.0,1.0,1.0,0,0,130,0.0,162.0,0.0,27.8,,,,,2006
20060101060573,0.0,3,73,,9408246.958788,0,1.0,3.0,3.0,15,0,60,0.0,235.0,1.0,31.0,,,2,,2006
20060101060578,0.0,5,68,,2690264.323667,4,1.0,1.0,3.0,0,0,85,0.0,220.0,0.0,33.4,,,,,2006
20060101060580,0.0,3,67,,4656907.366437,0,1.0,3.0,3.0,120,0,135,0.0,172.0,1.0,26.9,,,16,,2006
20060101060581,1.0,2,69,2.0,4066176.795792,2,2.0,1.0,1.0,0,0,65,0.0,165.0,0.0,24.4,,,,,2006
20060101060589,0.0,5,67,1.0,1830915.495291,0,,1.0,1.0,0,0,60,0.0,170.0,0.0,26.6,,,,,2006
20060101060612,0.0,4,72,,24291177.886487,0,1.0,3.0,3.0,0,0,60,0.0,252.0,0.0,34.2,,,,,2006
20060101060620,0.0,3,73,,3437208.394022,0,1.0,1.0,1.0,0,0,0,0.0,230.0,0.0,30.3,,,,,2006
20060101060627,0.0,3,65,1.0,2376707.965547,2,2.0,3.0,3.0,0,0,60,0.0,150.0,0.0,25.0,,,,,2006
20060101060629,0.0,2,62,2.0,5137457.823093,0,2.0,1.0,1.0,30,0,75,0.0,200.0,1.0,36.6,,,13,,2006
20060101060630,0.0,4,67,,2750047.301703,1,1.0,3.0,2.0,0,0,180,0.0,155.0,0.0,24.3,,,,,2006
20060101060633,0.0,4,63,1.0,3619780.694315,2,2.0,1.0,1.0,80,255,10,1.0,98.0,1.0,17.4,,,"2,2,7,7",,2006
20060101060641,0.0,4,67,1.0,9733971.119101,2,2.0,2.0,2.0,5,0,75,0.0,160.0,1.0,25.1,,,31,2.0,2006
20060101060656,0.0,5,68,,7923273.939156,0,1.0,3.0,2.0,0,0,65,0.0,130.0,0.0,19.8,,,,,2006
20060101060690,0.0,5,64,,1690259.122042,0,1.0,1.0,1.0,0,0,10,0.0,,0.0,,,,,,2006
20060101060697,0.0,5,67,,8690235.759621,3,1.0,1.0,1.0,10,0,75,0.0,170.0,1.0,26.6,,,14,,2006
20060101060710,0.0,2,-2,,6206417.151928,0,1.0,1.0,1.0,0,0,80,0.0,165.0,0.0,,,,,,2006
20060101060711,0.0,3,70,,10127554.189514,0,1.0,2.0,2.0,75,45,140,1.0,189.0,1.0,27.1,,,"9,9,13",,2006
20060101060713,0.0,4,69,,15196872.054898001,2,1.0,3.0,3.0,0,0,20,0.0,180.0,0.0,26.6,,,,,2006
20060101060714,0.0,3,66,,16313947.703952,2,1.0,3.0,3.0,0,0,50,0.0,135.0,0.0,21.8,,,,,2006
20060101060716,0.0,3,67,2.0,6042828.730844,0,2.0,1.0,1.0,0,0,65,0.0,125.0,0.0,19.6,,,,,2006
20060101060740,0.0,2,-2,1.0,1283223.230011,0,,1.0,1.0,15,0,75,0.0,168.0,1.0,,,,15,,2006
20060101060749,0.0,5,67,2.0,3938762.460346,2,2.0,2.0,1.0,0,0,45,0.0,190.0,0.0,29.8,,,,,2006
20060101060753,0.0,3,60,2.0,1681900.424944,4,2.0,1.0,1.0,0,0,30,0.0,135.0,0.0,26.4,,,,,2006
20060101060768,0.0,3,62,,2330683.974291,1,1.0,3.0,3.0,0,0,30,0.0,115.0,0.0,21.0,,,,,2006
20060101060785,0.0,2,69,,2016493.858448,0,1.0,1.0,1.0,30,900,0,1.0,300.0,1.0,44.3,,,"2,3,3,4,5",,2006
20060101060809,0.0,3,62,1.0,11214706.797766,3,2.0,1.0,1.0,0,0,50,0.0,150.0,0.0,27.4,,,,,2006
20060101060818,0.0,5,71,,7918206.3278169995,0,1.0,1.0,1.0,5,75,90,1.0,160.0,1.0,22.3,,,"5,7",,2006
